$	dollar[s] ドル記号(通貨単位)
acquirement	〈U〉(不断の努力・習慣などによって)(…を)取得(習得)すること《+『of』+『名』》 / 〈C〉《しばしば複数形で》(身につけた)学識,技能
acquisition	〈U〉(…を)取得(習得)すること《+『of』+『名』》 / 〈C〉取得したもの;(…に)加わったもの(人)《+『to』+『名』》
acquisitive	欲ばりの;(…を)ほしがる,得たがる《+『of』+『名』》
acquit	(…について)〈人〉‘に'無実(無罪)を宣告する,〈人〉'を'放免する《+『名』〈人〉+『of』(『on』)+『名』》
acquittal	無罪放免,釈放,免訴
acre	『エーカー』(面積の単位;約4,047平方メートル) / 《複数形で》田畑,土地
acreage	エーカー数,面積
acrid	(舌・鼻に)刺激のある,ひりひりする / (言葉・態度・気質が)しんらつな,とげとげしい
acrimonious	(言葉・態度・気質が)厳しい,しんらつな
acrimony	(言葉・態度・気質などの)厳しさ,しんらつさ
acrobat	軽業師,曲芸師,綱渡り芸人
acrobatic	軽業的な,曲芸的な
acrobatics	軽業(曲芸)の演技 / 《単数扱い》軽業(曲芸)の技術
acronym	かしら文字語(数語の最初の1字を組み合わせた語;通例は普通の名詞のように発音される;『NATO』=North Atlantic Treaty Organization)
acrophobia	高所恐怖症
acropolis	〈C〉(古代ギリシア都市の)城さい / 《the A-》アクロポリス(アテネの昔の城さいでパルテノン(Parthenon)神殿その他の遺跡がある)
across	《come,go,swimなどの移動を表す動詞と共に》 / (川・道路など幅があって長いもの)『を横断して』 / (線など比較的幅のない長いもの)『を越えて』 / 《be動詞や状態を表す動詞と共に,1における移動後の位置や状態を表して》…『の向こう側に』 / …『と交差する形で』,と交差するように / 『横断して』;越えて / 向こう側に / 《文》『交差して』 / (通例幅のある長いものの)『さし渡し』…,幅…
across-the-board	全員に行き渡る(適用される) / (競馬で)どれかに当たるようにかける
acrostic	折り句(行の初めの文字を並べるとある意味をなすもの)
acrylic	=acrylic resin / (画家用の)アクリル絵の具
acrylic fiber, acrylic fibre	アクリル繊維
acrylic resin	アクリル樹脂(熱可塑性の透明な樹脂)
act	『行い』,『行為』 / 《しばしばA-》法令,条令 / 《しばしばA-》(芝居の1つの)『幕』;(演芸などの)出し物の一つ / (見せかけの)お芝居,演技 / 『行動する』,行う / 《様態を表す副詞[句]を伴って》わざとふるまう,見せかける / 〈人・物が〉(…として)動く,役割をはたす《+『as』+『名』》 / 〈薬が〉『作用する』,きく / 舞台に立つ,出演する / 〈…の役〉'を'『演ずる』;〈劇〉'を'上演する / …‘に'ふさわしくふるまう / …‘に'見せかける,‘の'ふりをする
Act.	active
ACT	American College Testing / Australian Capital Territory
actomyosin	アクトミオシン(筋収縮を起こす複合体蛋白質)
ACTH	副腎皮質刺激ホルモン[剤]
actin	アクチン(筋肉生成に役立つ純蛋白質の一種)
acting	代理の,臨時の / 演出用の / 演出,演技
actinic	化学線の;化学作用のある
actinide series	《the ~》アクチニド系列(原子番号89から103までの放射性元素)
actinium	アクチニウム(放射性元素;化学記号Ac)
action	〈U〉『行動』,活動;精力的な活動 / 〈C〉『行為』,行い;《複数形で》『日常の行動』,ふるまい / 〈U〉〈C〉(人間・馬などの)身ぶり,動作,所作 / 〈U〉(身体諸器官の)働き / 〈U〉(機械などの)『働き』,機能;(薬・化学薬品などの)『作用』 / 〈U〉〈C〉戦闘(battle) / 〈C〉(銃・ピアノなどの)アクション,作動装置 / 〈C〉訴訟 / 〈U〉(劇・物語の)本筋,筋の運び
action painting	無形象画(絵具をカンバスなどに投げたり流したりして表現する前衛的な抽象絵画)
action stations	(兵士・水兵などへの命令で)戦闘配置につけ
actionable	起訴できる
activate	…'を'活動的にする / …‘に'放射能を与える / 〈物質〉'を'活性化する
activated carbon	活性炭(脱色・防毒・げり止めなどに用いる)
activation	活動化 / (物質の)活性化(化学反応を起こしやすくすること)
active	『活動的な』,活発な,活気のある / 『有効な』,(薬の効力などが)まだ働いている,機能している / (軍務で)現役の / 『積極的な』,実際的な / 能動態の
active voice	《the ~》能動態
actively	活発に;積極的に
activism	(放射線の)化学線作用 / (政治・社会的目標を達成するための)実践主義
activist	(特に政治信条の)積極行動主義者,実践主義者
activity	〈U〉『活動』,働き;活力 / 《しばしば複数形で》(種々の)『活動』,行事;(学生の)学内(外)活動,クラブ活動 / 〈U〉(商況・市場などの)活発,活気
actor	(男の)『俳優』,『男優』 / 行為者
actress	〈C〉女優
Acts	使徒行伝(新約聖書の中の一書)
actual	『現実の』,実際上の(real) / 現在の,現存の
actuality	〈U〉現実,実在,現実性 / 《複数形で》現状;事実
actualize	…'を'実現する;…'を'行動に表す
actually	(まさかと思うだろうが)『実際に』,現に,ほんとうに
actuarial	保険計理士の
actuary	保険計理士(妥当な保険料などを算出する人)
actuate	〈機械など〉'を'動かす / 《通例受動態で》〈動機などが〉〈人〉'を'行動させる,動かす
acuity	(知覚の)鋭さ,鋭敏
acumen	明敏,眼識の鋭さ
acupuncture	(特に中国の)針療法,鍼(しん)術
acute	(先の)『鋭い』,とがった / (痛み・感情などが)『激しい』,強い / (知力・感覚などが)『鋭い』,鋭敏な / (事態が)重大な / (病気が)急性の / (音が)高い,鋭い / 鋭角の
acute angle	鋭角
ad	《話》広告(advertisementの略)
ad hoc	特別の目的のための / 特別の目的のために
ad infinitum	無限に,永久に
ad interim	中間に(の);臨時に(の)(《略》ad int.)
ad libitum	(音楽の演奏の指示で)随意に,演奏者の自由に
ADA	Americans for Democratic Action 米国人民主行動連盟
adage	格言,ことわざ
adagio	(音楽で)ゆるやかに / アダージォの曲(楽章)
Adam	アダム(聖書によれば,神が天地を創造したとき,最初Adamをつくり,そのろっ骨の1本から最初の女Eveを造ったという)
adamant	(伝説で)絶対に砕けない堅固な物質 / 《文》(人,人の態度・意見などが)堅固無比な;(…するといって)ゆずらない《+『about』do『ing』》,(…だと)ゆずらない《+『that』節》
adamantine	(決心などが)不動の,ゆるぎない
Adams apple	のどぼとけ(エデンの園でAdamが食べた禁断の実リンゴの1切れがAdamののどにつかえたという伝説に由来)
adapt	(…に)…'を'『適応させる』,適合させる《+『名』+『to』+『名』(do『ing』)》 / (…向きに)〈小説・戯曲など〉'を'『脚色する』,翻案する,書きかえる《+『名』+『for』+『名』》 / (環境などに)適応する,順応する《+『to』+『名』》
adaptability	適応性,順応性
adaptable	(物・事が)適応できる / (人が)融通のきく,順応性のある
adaptation	〈U〉適応,順応 / 〈U〉脚色,翻案;〈C〉翻案物,改作物
adapter, adaptor	改作者,翻案者 / (電気・機械の)調整器(装置),アダプター
adaptive	適応できる,適応性のある
add	1〈二つ以上のもの〉'を'『合計する』《+『名』+『up』(『together』),+『up』(『together』)+『名』》 / (…に)…'を'『加える』,足す,付け足す《+『名』+『to』(『and』)+『名』》 / 《『add』+『that』『節』》…‘と'つけ加える / 足し算をする,加える
add.	addenda / addition
addend	加数
addenda	addendumの複数形
addendum	付加物,追加;(本の)補遺,付録
adder	計算者 / 計算器 / アダー(北欧・アジア・北米産の小さいマムシの類の毒蛇;北米産は無毒)
addict	《受動態で用いて》(…に)〈人〉'を'熱中させる《+『名』〈人〉+『to』+『名』(do『ing』)》 / (麻薬などの)常用者,中毒者
addiction	(物事に)熱中すること《+『to』+『名』》 / (麻薬などの)常用《+『to』+『名』》
addictive	(薬品が)[麻薬]中毒を起こす,習慣性の
addition	〈U〉(…を…に)『付け加えること』,追加《+『of』+『名』+『to』+『名』》 / 〈U〉加法,足し算 / 〈C〉(…に)加えられた物,足した物,《米》(家の)建て増し部分《+『to』+『名』》
additional	『付け加えた』,追加の;特別の
additionally	その上,さらに
additive	(製造品に)添加された;足し算の / 添加物
addle	〈卵〉'を'腐らせる / 《話》〈人,人の頭など〉'を'混乱させる / 〈卵が〉腐る / 《話》〈人,人の頭などが〉混乱する
addn.,addnl	additional
address	〈C〉『あて名』,住所 / 〈C〉『演説』;(口頭・文書による)あいさつの言葉(speech) / 《文》〈U〉話しぶり,応対のしかた / 〈U〉(物事を扱う)手ぎわのよさ,如才なさ / 《複数形で》くどき,求愛,求婚 / …‘に'『あてて手紙』(『小包』)『を出す』 / (人にあてて)…‘の'あて名を書いて出す《+『名』+『to』+『名』〈人〉》 / (…と)〈人〉‘に'『話にかける』,呼びかける《+『名』+『as』+『名』》 / …‘に'演説する,講演する / (…に)〈抗議など〉'を'向ける《+『名』+『to』+『名』》
addressee	受信人,名あて人
adduce	〈証拠・理由〉'を'あげる;(証拠として)…'を'引用する
Aden	アデン(イエメン民主人民共和国の首都)
adenine	アデニン(肝臓・茶の葉から採れる塩基の一種)
adenoidal	アデノイド(腺(せん)様増殖症)の / (声が)鼻にかかった
adenoids	《複数形》アデノイド,腺(せん)様増殖症(扁桃腺の病気)
adept	熟達した,精通した;(…に)巧みな《+in(at)+名(doing)》 / 〈C〉(…に)熟達した人,(…の)名人《+『at』(『in』)+『名』(do『ing』)》
adequacy	適当であること,妥当性;十分なこと
adequate	(要求・目的に)『十分な』 / かろうじて満足できる / 《補語にのみ用いて》(…に)『適した』,かなった《+『to』(『for』)+『名』》
adequately	適切に,十分に
adhere	〈物が〉(…に)『くっつく』,付着する,粘着する《+『to』+『名』》 / 〈人が〉(決心・主義などに)執着する,固守する《+『to』+『名』》
adherence	(…への)固守,執着《+『to』+『名』》 / (物が)(…に)付着する(している)こと《+『to』+『名』》
adherent	(主義などに)味方する,固守する / 粘着性の,付着性の / 支持者,味方,信者
adhesion	粘着,付着
adhesive	付着力のある,粘着性の / 粘着物,接着剤
adhesive tape	接着テープ
adiabatic	(物質が)断熱の(熱を導かないことをいう)
adieu	さようなら,ごきげんよう(good-by) / 別れ,告別(farewell)
adios	さようなら
adipose	脂肪質の
adj.	adjective
adjacent	《文》近接の,隣接している;(…に)すぐ近くの《+『to』+『名』》
adjectival	形容詞的(の)
adjective	『形容詞』(《略》adj.) / 形容詞の
adjoin	…‘に'『隣接する』 / (…に)隣接する,隣り合う《+『to』+『名』》
adjoining	隣り合う,隣の
adjourn	(…まで)〈会議など〉'を'『休会する』,延期する《+『名』+『for』(『until』,『till』)+『名』》 / (…まで)延期する,休会する《+『for』(『until』,『till』)+『名』》 / 《話》(…に)席を移す《+『to』+『名』》
